smart_city,population_2020,population_source,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,overall_rating,overall_ranking,smartcity_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Rome,3718000,IMD Smart City Index 2020,57.1,67.5,48.3,63.7,2,101,IMD Smart City Index 2020,11/12/2020,0,1,30,1,0,0,44,29,47,47,20,18,0,0,47,35,45,35,47,18,0,0,1,27,1,1,6,1,1,1,1,27,2,34,20,1,1,4685,4685,2058,2,0,0,1282,1,0,0,3259,3258,0,0,0,0,0,0,67,51,1533,1190,1169,1199,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,9,1,1,1,0,9,9,10,9,9,284,0,0,27,27,40,29,29,22,404,3263,6196,47,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,145,0,39,4143,3,4190,0,0,1236,7,1313,78,1214,1191,483,965,1,22,40,22,4,1624,1626,1626,1626,1628,27,4,4,48,0,0,0,0,0,0,0,0,9,4,1663,0,0,4700,24,44,522,523,523,6783,1600,1,508,1791,49,1792,4,0,0,0,1199,4,1800,114,4936,0,0,0,0,0,3289,490,972,1679,1679,744,1317,1915,50,50,50,50,50,50,50,101,1826,0,0,1246,0,0,0,0,0,0,3,366,6,14,62,0,23,3,199,2273,2273,2272,600,486,5416,228,0,2,4,0,1,77,0,0,403,403,421,441,441,441,83,59,0,0,5,970,3,977,0,0,0,17,0,4,0,114,1335,1221,5,5,0,0,98,98,98,0,0,0,0,54,54,6,54,1776,0,0,0,0,0,0,0,50,0,1917,1917,442,1917,1918,2,27,2251,2251,2251,407,2250,405,0,0,0,0,52,158,0,0,18,0,14
Sofia,1226000,IMD Smart City Index 2020,57.6,71.6,48.6,55.4,3,89,IMD Smart City Index 2020,11/12/2020,0,217,60,4,0,0,74,42,81,81,34,39,3,3,81,117,63,46,81,39,0,3,0,56,0,0,10,0,0,0,0,35,0,116,100,3,3,5359,5359,2402,0,0,1,1262,223,0,0,3679,3678,0,0,0,0,0,0,69,23,804,488,489,494,20,1,1,1,1,1,1,1,0,0,0,0,0,0,5,3,3,3,3,3,3,3,0,0,0,7,0,0,0,0,7,7,7,7,21,91,0,0,106,106,127,107,107,105,593,3683,6406,81,0,4,1,4,1,4,1,1,0,0,0,0,0,0,0,127,4,72,4684,5,4736,4,4,520,5,560,44,520,507,220,221,11,36,65,36,2,1385,1393,1393,1393,1393,107,2,2,138,4,4,4,4,4,4,4,4,63,6,1927,4,4,5374,63,64,655,655,655,7132,1877,0,224,1488,94,1488,351,4,4,4,1708,2,1496,130,5579,4,4,1,4,4,1353,220,221,1414,1414,555,1296,1828,77,77,77,77,77,77,77,70,1526,0,0,525,4,4,4,4,4,0,148,146,2,9,25,0,4,1,169,3092,3092,3092,1145,1015,6590,350,0,1,113,0,3,27,4,1,223,223,361,378,378,378,22,19,0,4,0,120,7,226,4,0,0,48,0,116,0,69,595,526,15,15,0,3,69,69,69,4,4,4,4,17,17,1,19,1501,3,4,4,4,4,4,4,77,0,1721,1721,295,1721,1721,7,105,2037,2037,2037,263,2038,188,1,1,0,1,77,176,0,0,10,0,11
Bucharest,1868000,IMD Smart City Index 2020,64.6,78.8,57.1,59.1,3,87,IMD Smart City Index 2020,11/12/2020,0,37,74,0,1,0,61,26,71,71,41,45,0,0,71,118,203,51,71,45,0,0,1,65,1,1,11,1,1,1,1,84,1,117,64,0,0,3998,3998,3076,1,0,0,1675,37,0,0,3157,3157,0,0,0,0,0,0,42,26,807,543,545,550,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,31,50,0,0,102,102,135,104,104,92,379,3153,5160,70,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,227,2,63,3207,10,3376,0,0,581,5,651,77,581,553,147,162,2,52,93,52,4,1711,1713,1713,1713,1713,105,4,4,152,0,0,0,0,0,0,0,0,10,0,1870,0,0,4012,31,113,642,642,642,5989,1823,0,177,1810,62,1810,12,0,0,0,2110,4,1830,141,4244,0,0,0,0,0,3430,148,163,1773,1773,381,1681,2125,117,117,117,117,117,117,117,170,1859,0,0,587,0,0,0,0,0,0,66,90,5,13,41,0,4,0,205,2473,2474,2474,583,442,4690,104,0,2,515,0,0,28,0,0,91,91,140,156,156,156,34,22,0,0,1,78,0,107,0,0,0,62,0,514,0,95,670,576,39,39,0,0,168,168,168,0,0,0,0,21,21,2,22,1829,0,0,0,0,0,0,0,115,2,2097,2097,382,2096,2096,0,105,2486,2486,2486,126,2486,319,0,0,0,0,118,203,0,0,26,0,33
Guangzhou,12458000,IMD Smart City Index 2020,87.8,85.7,84.5,86.4,4,68,IMD Smart City Index 2020,11/12/2020,0,6,5,0,0,0,102,47,143,143,43,96,0,0,143,63,111,111,143,95,0,0,1,5,1,1,2,1,1,1,1,84,0,59,37,0,0,1546,1546,10051,0,0,0,2547,6,0,0,1290,1290,0,0,0,0,0,0,149,62,544,331,331,339,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,41,720,2,0,41,41,69,50,50,43,74,1291,2219,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,11,129,1319,7,1488,0,0,388,8,421,41,388,355,164,166,0,5,9,5,9,2693,2710,2710,2709,2709,46,9,9,123,0,0,0,0,0,0,0,0,32,14,654,0,0,1558,71,10,168,168,169,2578,615,0,362,2811,147,2810,31,0,0,0,7820,9,2837,88,1726,0,0,0,0,0,1421,165,167,2714,2713,628,2454,3105,10,10,10,10,10,10,10,83,2873,0,0,400,0,0,0,0,0,0,5,176,0,2,47,0,0,0,189,839,839,839,176,88,1821,2051,0,6,3,0,0,5,0,0,295,295,428,449,449,449,8,4,4,0,0,159,7,171,0,0,0,12,0,3,0,124,506,382,1,1,0,0,79,79,79,0,0,0,0,4,4,0,4,2805,0,0,0,0,0,0,0,10,0,3019,3020,469,3020,3021,4,47,3214,3214,3214,350,3216,360,0,0,0,0,10,0,0,0,184,0,0
Barcelona,5258000,IMD Smart City Index 2020,59.4,72.0,58.2,65.7,6,49,IMD Smart City Index 2020,11/12/2020,0,19,44,1,0,0,48,8,62,62,35,54,0,0,62,77,31,63,62,54,0,0,1,39,1,1,6,1,1,1,1,32,2,77,27,1,1,4003,4003,2123,2,0,0,1168,19,2,0,2815,2815,0,0,0,0,0,0,51,38,659,403,398,423,32,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,15,2,1,1,0,15,15,16,15,34,240,0,0,41,41,51,41,41,31,502,2829,4289,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,80,2850,4,2885,0,0,448,24,503,80,447,434,601,602,14,34,69,34,6,1244,1249,1249,1249,1249,41,6,6,61,0,0,0,0,0,0,0,0,19,2,2450,0,0,4030,33,54,1138,1138,1138,5491,2382,1,212,1336,89,1336,5,0,0,0,1226,6,1346,121,4296,0,0,0,0,0,1538,603,604,1269,1269,391,1125,1541,89,89,89,89,89,89,89,44,1374,0,0,456,0,0,0,0,0,0,65,128,4,18,79,0,20,2,182,3045,3045,3046,572,451,4753,291,0,3,23,0,1,77,0,0,153,153,203,234,234,234,38,55,0,0,3,558,6,608,0,0,0,59,0,23,0,105,539,434,14,14,0,1,44,44,44,0,0,0,0,51,51,1,55,1340,1,0,0,0,0,0,0,87,3,1493,1493,296,1492,1493,0,41,1628,1629,1630,186,1629,248,0,0,0,0,91,105,0,0,9,0,7
Vancouver,2485000,IMD Smart City Index 2020,60.7,68.6,57.3,79.2,8,19,IMD Smart City Index 2020,11/12/2020,0,5,42,4,0,0,46,12,47,47,37,35,0,0,47,32,41,38,47,35,0,0,3,38,3,3,7,3,3,3,3,29,1,27,1,0,0,4947,4946,1982,1,0,0,939,7,0,0,3749,3749,0,0,0,0,0,0,14,6,698,457,456,460,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,0,0,0,3,0,0,0,0,3,3,3,3,35,162,0,0,13,13,28,19,19,7,122,3753,6265,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,43,4644,4,4691,0,0,474,4,509,41,474,461,324,324,0,29,49,29,0,967,969,969,969,969,13,0,0,31,0,0,0,0,0,0,0,0,1,3,2477,0,0,4952,20,50,266,266,266,6601,2408,0,93,1014,43,1014,10,0,0,0,929,0,1019,69,5126,0,0,0,0,0,1139,325,325,932,932,206,886,1063,50,50,50,50,50,50,50,207,1038,0,0,476,0,0,0,0,0,0,24,62,0,12,40,0,46,0,111,2649,2649,2650,171,102,5228,66,0,0,309,0,0,86,0,0,37,37,58,69,69,69,35,64,0,0,0,289,1,323,0,0,0,23,0,306,0,52,515,463,19,19,0,0,205,205,205,0,0,0,0,61,61,2,63,1025,0,0,0,0,0,0,0,49,1,1109,1109,134,1109,1109,1,13,1373,1373,1373,56,1373,94,0,0,0,0,52,58,0,0,6,0,1
Melbourne,4203000,IMD Smart City Index 2020,60.7,71.5,59.5,73.3,8,20,IMD Smart City Index 2020,11/12/2020,0,8,31,0,0,0,59,30,64,64,24,34,0,0,64,45,138,37,64,35,0,0,0,25,0,0,0,0,0,0,0,16,0,44,20,0,0,3410,3411,4082,0,0,0,1230,11,0,0,1693,1693,0,0,0,0,0,0,18,5,1029,954,950,961,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,9,9,9,26,91,1,0,24,24,32,25,25,22,142,1688,3736,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,80,2703,1,2750,0,0,977,11,1025,58,977,967,53,53,6,20,33,20,0,1331,1331,1331,1331,1332,24,0,0,36,0,0,0,0,0,0,0,0,5,1,1290,0,0,3425,18,35,658,658,658,4475,1232,1,250,1510,52,1511,48,0,0,0,3371,0,1518,88,3600,0,0,0,0,0,1209,53,53,1496,1496,438,1402,1758,44,44,44,44,44,44,44,89,1533,0,0,984,0,0,0,0,0,0,20,117,0,11,30,0,200,0,141,1677,1677,1677,382,294,3899,73,0,0,272,0,0,25,0,0,58,58,85,91,91,91,36,19,0,0,6,49,2,55,0,0,0,5,0,272,0,71,1017,947,6,6,0,0,88,88,88,0,0,0,0,18,18,0,19,1478,0,0,0,0,0,0,0,43,1,1677,1677,209,1677,1677,0,24,2604,2604,2603,67,2604,186,0,0,0,0,42,95,0,0,4,1,1
Hanoi,3790000,IMD Smart City Index 2020,91.7,92.1,89.6,63.8,3,84,IMD Smart City Index 2020,11/12/2020,0,19,6,0,0,1,62,33,65,65,36,32,2,2,65,83,26,46,66,33,0,2,1,3,1,1,2,1,1,1,1,30,1,72,39,0,0,1532,1532,2459,1,0,0,1176,19,0,0,1256,1256,1,1,1,1,1,0,68,50,1001,530,528,749,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,1,1,0,7,7,8,7,27,70,0,0,47,47,68,59,59,43,93,1262,2196,67,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,51,0,53,1230,29,1254,2,2,784,221,904,327,783,759,560,561,4,2,9,2,5,1486,1490,1490,1490,1491,48,5,5,71,2,2,2,2,2,2,2,2,70,249,678,2,2,1540,263,10,288,288,288,2547,593,0,346,1515,311,1514,36,2,2,2,1993,5,1532,66,1673,2,2,0,2,2,1779,563,564,1251,1251,583,1167,1745,14,14,14,14,14,14,14,27,1630,1,1,805,2,2,2,2,2,0,16,325,1,8,12,0,9,1,184,887,887,887,186,119,1796,259,0,2,87,0,0,18,2,0,180,180,441,450,450,450,8,13,0,2,2,550,2,554,2,0,0,4,0,86,0,346,935,589,1,1,0,0,26,26,26,2,2,2,2,13,13,0,13,1505,0,2,2,2,2,2,2,13,0,1662,1662,488,1662,1662,3,49,1804,1804,1806,429,1806,138,0,0,0,0,16,344,0,0,14,2,32
Busan,3216000,IMD Smart City Index 2020,56.2,74.9,59.6,68.1,6,46,IMD Smart City Index 2020,11/12/2020,0,0,10,0,0,0,86,70,100,100,20,30,0,0,100,52,55,30,100,30,0,0,0,7,0,0,0,0,0,0,0,361,0,52,13,0,0,1822,1822,2001,0,0,0,1638,0,0,0,1063,1063,0,0,0,0,0,0,18,8,927,597,596,602,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,15,84,0,0,15,15,23,17,17,13,32,1066,2514,101,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,1,35,1628,3,1656,0,0,611,6,649,44,611,609,25,25,0,2,10,2,3,1666,1670,1670,1670,1669,17,3,3,376,0,0,0,0,0,0,0,0,5,1,479,0,0,1835,7,10,187,187,187,2750,411,0,84,1704,42,1705,38,0,0,0,1519,3,1707,50,1967,0,0,0,0,0,5674,25,25,1619,1619,258,1568,1728,10,10,10,10,10,10,10,21,1724,0,0,612,0,0,0,0,0,0,3,47,0,1,13,0,1,0,89,612,612,612,119,69,2034,644,0,3,1,0,0,1,0,0,73,73,82,90,90,90,14,1,0,0,0,24,1,26,0,0,0,5,0,1,0,49,630,581,0,0,0,0,21,21,21,0,0,0,0,1,1,0,1,1691,0,0,0,0,0,0,0,10,0,1767,1767,125,1767,1766,1,16,1804,1804,1804,60,1805,103,0,0,0,0,10,40,0,0,32,0,1
Lisbon,2884000,IMD Smart City Index 2020,62.0,72.4,66.0,63.9,4,75,IMD Smart City Index 2020,11/12/2020,0,4,18,0,0,0,13,9,17,17,12,8,4,4,17,30,50,11,17,8,0,4,0,16,0,0,3,0,0,0,0,14,0,29,14,2,2,2622,2622,1495,0,1,2,821,5,0,0,1545,1545,0,0,0,0,0,0,50,43,467,291,290,292,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,8,1,1,1,0,7,7,8,7,5,127,0,0,20,20,24,21,21,20,240,1543,2360,18,0,4,1,4,1,3,1,1,0,0,0,0,0,0,0,61,0,27,1474,2,1498,3,3,312,2,337,28,312,295,343,343,1,12,22,12,4,862,874,874,875,874,21,4,4,29,5,5,5,5,5,5,5,5,311,1,1819,4,4,2613,46,23,1119,1119,1119,3511,1733,0,164,989,20,989,2,5,5,5,888,4,1004,55,2802,6,5,3,5,5,1214,343,343,942,942,329,886,1133,25,25,25,25,25,25,25,76,1023,0,0,316,5,5,5,5,5,0,39,41,1,8,91,2,16,1,94,2136,2136,2136,307,252,3052,115,0,2,104,0,2,34,6,3,79,79,127,142,142,142,17,26,0,5,2,278,4,283,6,0,3,29,0,104,0,56,367,311,0,0,0,2,76,76,76,5,5,5,5,24,24,0,25,1014,2,5,5,5,6,5,5,25,0,1117,1117,179,1117,1117,11,21,1270,1270,1270,121,1270,117,3,3,2,3,25,76,0,0,3,0,2
Athens,3052000,IMD Smart City Index 2020,59.8,58.9,46.3,67.3,2,99,IMD Smart City Index 2020,11/12/2020,0,6,12,0,0,6,31,14,43,43,17,29,0,0,43,111,32,29,43,29,0,0,0,12,0,0,1,0,0,0,0,142,0,106,14,0,0,1992,1992,853,0,0,0,703,6,0,0,1653,1653,6,6,6,6,6,0,28,18,393,247,247,252,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,14,285,1,0,85,85,126,91,91,16,243,1650,2473,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,36,1533,8,1560,0,0,264,5,309,42,264,257,840,841,2,8,13,8,3,735,737,738,739,739,85,3,3,157,0,0,0,0,0,0,0,0,15,0,1090,0,0,2003,17,13,430,430,430,2960,1069,0,141,831,40,831,5,0,0,0,512,4,833,73,2125,0,0,0,0,0,2141,842,843,783,783,259,733,889,14,14,14,14,14,14,14,91,843,6,6,272,0,0,0,0,0,0,6,55,0,13,25,0,16,0,116,1504,1504,1504,403,330,2457,218,0,3,13,0,0,45,0,0,48,48,67,70,70,70,40,27,0,0,3,835,4,844,0,0,0,12,0,13,0,59,322,263,6,6,0,0,87,87,87,0,0,0,0,25,25,5,27,826,0,0,0,0,0,0,0,14,0,897,897,97,897,897,1,84,1090,1090,1090,59,1089,72,0,0,0,0,14,36,0,0,7,0,5
Hyderabad,10716000,IMD Smart City Index 2020,79.3,78.0,84.2,71.7,3,85,IMD Smart City Index 2020,11/12/2020,0,4,3,0,0,0,12,5,12,12,8,7,0,0,12,40,6,12,12,7,0,0,0,3,0,0,0,0,0,0,0,20,0,39,8,0,0,1267,1267,2026,0,0,0,610,4,0,0,865,865,0,0,0,0,0,0,25,20,1648,1573,1572,1576,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,7,73,0,0,15,15,28,19,19,10,27,866,1568,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,16,952,8,978,0,0,1608,4,1659,59,1609,1595,11,11,5,2,6,2,3,639,648,648,648,648,18,3,3,30,0,0,0,0,0,0,0,0,1,0,824,0,0,1270,17,6,252,252,252,1896,545,0,280,681,231,681,13,0,0,0,1479,3,685,49,1616,0,0,0,0,0,303,11,11,665,665,355,416,969,13,13,13,13,13,13,13,12,693,0,0,1616,0,0,0,0,0,0,5,252,8,12,21,0,4,0,95,912,912,912,82,33,1648,152,0,1,32,0,0,13,0,0,243,243,257,269,269,269,8,13,0,0,0,8,1,12,0,0,0,10,0,31,0,64,1656,1592,19,19,4,0,12,12,12,0,0,0,0,13,13,0,13,682,0,0,0,0,0,0,0,13,0,956,955,525,955,956,0,18,997,996,997,257,997,501,0,0,0,0,13,160,0,0,45,0,18
Hangzhou,6391000,IMD Smart City Index 2020,82.0,84.4,85.2,75.4,4,65,IMD Smart City Index 2020,11/12/2020,0,3,1,0,0,0,37,16,40,40,24,24,0,0,40,53,22,27,40,24,0,0,0,1,0,0,1,0,0,0,0,18,0,52,31,0,0,414,420,8973,0,0,0,739,3,0,0,1304,1304,0,0,0,0,0,0,61,21,184,116,116,117,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,19,399,0,0,32,32,45,37,37,34,29,1307,1529,40,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,41,1,32,349,3,384,0,0,143,1,157,30,143,122,438,438,0,0,1,0,7,782,786,787,787,787,36,7,7,51,0,0,0,0,0,0,0,0,25,0,269,0,0,425,16,1,33,33,33,1613,253,0,95,827,34,827,19,0,0,0,6353,7,844,17,502,0,0,0,0,0,1196,438,438,792,792,223,730,913,1,1,1,1,1,1,1,80,856,0,0,145,0,0,0,0,0,0,2,58,0,1,36,0,1,0,76,345,345,345,64,47,549,3902,0,5,0,0,0,1,0,0,84,84,121,124,124,124,8,1,0,0,0,258,4,429,0,0,0,2,0,0,0,78,201,123,1,1,1,0,81,81,81,0,0,0,0,1,1,0,1,840,0,0,0,0,0,0,0,1,0,913,913,152,913,913,1,36,969,969,969,91,969,109,0,0,0,0,1,6,0,0,104,0,1
Chengdu,7556000,IMD Smart City Index 2020,87.9,85.8,86.7,83.3,4,69,IMD Smart City Index 2020,11/12/2020,0,4,1,0,0,0,44,25,49,49,23,24,0,0,49,39,48,26,49,24,0,0,0,1,0,0,0,0,0,0,0,23,0,39,19,0,0,939,939,8083,0,0,0,759,4,0,0,749,750,0,0,0,0,0,0,61,8,441,241,241,242,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,388,0,0,22,22,44,29,29,28,42,751,1343,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,28,875,0,897,0,0,263,1,288,29,263,252,69,69,1,1,1,1,8,813,824,824,824,824,29,8,8,46,0,0,0,0,0,0,0,0,12,0,453,0,0,945,28,2,48,48,48,1418,442,0,95,849,37,849,34,0,0,0,6653,8,882,63,1038,0,0,0,0,0,743,69,69,795,795,251,730,975,3,3,3,3,3,3,3,59,907,0,0,265,0,0,0,0,0,0,3,61,0,0,17,0,2,0,117,570,570,571,111,49,1093,1262,0,3,1,0,0,0,0,0,122,122,182,190,190,190,0,0,0,0,0,48,10,78,0,0,0,17,0,1,0,59,319,260,1,1,0,0,60,60,60,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,3,1,952,952,183,953,953,1,29,1043,1043,1043,142,1044,111,0,0,0,0,4,11,0,0,95,0,2
